time/iterations,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
10,47.79,1.00099515914917,0.00025,0.0141389305,0.11368408203125,225.98171844,0.2,-0.015527837735135108,0.7014097571372986,0.3983048513531685,0.03161102533340454,163840,11716,13,90,-24.135703372955323,,
20,63.55,0.9961597323417664,0.00025,0.009533362,0.070440673828125,318.3531111599999,0.2,-0.014558556012343616,0.9041533470153809,0.1055215623229742,-0.09851393103599548,327680,11369,28,190,-24.057216358184814,,
30,76.85,0.9935982823371887,0.00025,0.010166813,0.08304443359375,389.76414832,0.2,-0.01556284649996087,0.932405948638916,0.07155795693397522,-0.1180250495672226,491520,11225,43,290,-23.99987163543701,,
40,87.01,0.992733895778656,0.00025,0.011065183,0.0845703125,432.22462369,0.2,-0.01511016880394891,0.9437505602836609,0.05814159512519836,-0.12133921682834625,655360,11140,58,390,-23.974338150024415,,
50,92.14,0.9960739016532898,0.00025,0.010772322,0.076251220703125,456.16390609999996,0.2,-0.015771806723205373,0.945697546005249,0.05498632304370403,-0.12540225684642792,819200,11099,73,490,-24.02663631439209,,
60,98.86,0.9972712397575378,0.00025,0.010936877,0.083203125,495.95191243,0.2,-0.017094478744547816,0.9479348659515381,0.05170004945248365,-0.12909500300884247,983040,11075,88,590,-24.03681583404541,,
70,105.57,0.9956094026565552,0.00025,0.010910044,0.086065673828125,531.44956792,0.2,-0.016447015921585262,0.9525403380393982,0.04817071203142405,-0.13007736206054688,1146880,11066,103,690,-24.003926086425782,,
80,120.41,0.9953043460845947,0.00025,0.013301146,0.1135498046875,605.0749529600001,0.2,-0.018686889053788035,0.9536982774734497,0.048411636427044866,-0.13118305802345276,1310720,11054,118,790,-23.997094058990477,,
90,129.71,0.9933615326881409,0.00025,0.013290541,0.100115966796875,652.7353252099999,0.2,-0.02003288920968771,0.9514415264129639,0.04884226657450199,-0.1350608617067337,1474560,10989,134,890,-23.944411754608154,,
100,138.99,0.9963939785957336,0.00025,0.013310612,0.1031982421875,706.9984842599999,0.2,-0.019823030882980673,0.9581566452980042,0.04310809373855591,-0.1386188417673111,1638400,10928,149,990,-23.981321239471434,,
110,158.25,0.9995680451393127,0.00025,0.013904465,0.11090087890625,818.85434058,0.2,-0.02177385943941772,0.9525146484375,0.04970116075128317,-0.1385362446308136,1802240,10857,165,1090,-24.022781085968017,,
120,164.95,1.0011718273162842,0.00025,0.013554949,0.11669921875,843.4326532599999,0.2,-0.02085895062191412,0.9518934488296509,0.04944761078804731,-0.1370444893836975,1966080,10812,181,1190,-24.039968013763428,,
,,1.0023282766342163,0.00025,0.013753673,0.10616455078125,,0.2,-0.02069017409812659,0.9513623714447021,0.04825842883437872,-0.13846203684806824,2000000,,,1220,-24.05888166427612,179.2,1008.6414589166641
130,182.14,1.0042908191680908,0.00025,0.014328473,0.11788330078125,938.9578432099999,0.2,-0.021468104689847677,0.9571992754936218,0.04238709770143032,-0.1410277932882309,2129920,10781,197,1290,-24.081637954711915,,
140,195.33,1.0078744888305664,0.00025,0.01380595,0.1171142578125,1007.4363920899999,0.2,-0.02166756590595469,0.9534236192703247,0.04527619294822216,-0.14197367429733276,2293760,10776,212,1390,-24.11919946670532,,
150,227.82,1.0102455615997314,0.00025,0.013896131,0.103253173828125,1178.90496839,0.2,-0.021706507506314664,0.9538199305534363,0.04121500588953495,-0.14446420967578888,2457600,10777,228,1490,-24.14588041305542,,
160,237.53,1.0117237567901611,0.00025,0.015144678,0.12032470703125,1233.42062992,0.2,-0.022069698432460427,0.9564257264137268,0.04157571010291576,-0.143154576420784,2621440,10768,243,1590,-24.163319492340086,,
170,295.3,1.0167180299758911,0.00025,0.014610143,0.122955322265625,1559.73125066,0.2,-0.021887997863814235,0.9485738277435303,0.0400003120303154,-0.1431325525045395,2785280,10763,258,1690,-24.23617868423462,,
180,317.09,1.0216346979141235,0.00025,0.014838099,0.1221923828125,1689.1755476100004,0.2,-0.022313947381917387,0.9436779022216797,0.041729394160211083,-0.14447563886642456,2949120,10763,273,1790,-24.288168048858644,,
190,387.76,1.0270758867263794,0.00025,0.015500195,0.1288330078125,2081.87630447,0.2,-0.022681543964426964,0.944812536239624,0.04122211039066315,-0.14612917602062225,3112960,10758,289,1890,-24.363001537322997,,
200,441.14,1.0295867919921875,0.00025,0.014941886,0.12530517578125,2383.34417624,0.2,-0.02141927273478359,0.9420230984687805,0.038205561228096485,-0.1462385654449463,3276800,10756,304,1990,-24.379820823669434,,
210,479.88,1.0315415859222412,0.00025,0.014435259,0.108935546875,2608.2819412,0.2,-0.021649475651793183,0.9398109316825867,0.03044526893645525,-0.1481178104877472,3440640,10755,319,2090,-24.40572061538696,,
220,593.1,1.0377535820007324,0.00025,0.014215717,0.11795654296875,3237.91412838,0.2,-0.021171386330388488,0.9426547884941101,0.02444226751103997,-0.15036803483963013,3604480,10756,335,2190,-24.490869808197022,,
230,690.31,1.043317437171936,0.00025,0.015333754,0.1205078125,3792.267664779999,0.2,-0.02217427359428257,0.9226408004760742,0.026524038799107075,-0.15319912135601044,3768320,10758,350,2290,-24.560255527496338,,
240,728.84,1.0510979890823364,0.00025,0.015967606,0.117144775390625,4039.976841310001,0.2,-0.02154424397740513,0.9377407431602478,0.01506682513281703,-0.15621787309646606,3932160,10766,365,2390,-24.67264919281006,,
,,1.0548791885375977,0.00025,0.017015047,0.1315185546875,,0.2,-0.02181035509565845,0.93586266040802,0.015269994176924229,-0.1574643850326538,4000000,,,2440,-24.719816303253175,1000.0,5732.489557524025
250,708.64,1.0586557388305664,0.00025,0.01618471,0.13009033203125,3927.7696304199985,0.2,-0.021304991480428727,0.9284816384315491,0.016782835870981217,-0.15479497611522675,4096000,10692,383,2490,-24.765500450134276,,
260,823.56,1.0693280696868896,0.00025,0.016339624,0.121435546875,4623.45565008,0.2,-0.02096787731279619,0.9003036022186279,0.010676610469818115,-0.15655004978179932,4259840,10698,398,2590,-24.913365268707274,,
270,778.34,1.0798567533493042,0.00025,0.016836885,0.1248779296875,4408.752774899999,0.2,-0.02130455564474687,0.9012669920921326,0.012545038294047118,-0.15890394151210785,4423680,10707,413,2690,-25.068203830718993,,
280,860.22,1.0937268733978271,0.00025,0.016157135,0.121380615234375,4885.59801196,0.2,-0.02135387392481789,0.9194565415382385,0.0104358424898237,-0.15825600922107697,4587520,10697,428,2790,-25.260370445251464,,
290,728.05,1.102636456489563,0.00025,0.017791893,0.129534912109375,4221.50880579,0.2,-0.022449547378346323,0.9033944606781006,0.016729613905772565,-0.158961683511734,4751360,10700,444,2890,-25.390999126434327,,
300,783.79,1.1075859069824219,0.00025,0.016413346,0.14462890625,4543.25617076,0.2,-0.021502843219786884,0.9058582782745361,0.017337663006037472,-0.15726275742053986,4915200,10704,459,2990,-25.45266809463501,,
310,765.04,1.1154392957687378,0.00025,0.016935507,0.12508544921875,4456.54087264,0.2,-0.023184691497590393,0.924492597579956,0.01602317877113819,-0.16365857422351837,5079040,10704,474,3090,-25.569904327392578,,
320,821.62,1.126238465309143,0.00025,0.016696788,0.1361083984375,4821.63678758,0.2,-0.021131052123382687,0.8699162006378174,0.009691391699016094,-0.16075293719768524,5242880,10703,489,3190,-25.713309383392335,,
330,805.57,1.136151909828186,0.00025,0.016092293,0.134234619140625,4792.371594980001,0.2,-0.019850911991670727,0.879535436630249,0.009852942940779031,-0.15961462259292603,5406720,10707,504,3290,-25.832942962646484,,
340,789.75,1.1453790664672852,0.00025,0.01659656,0.126214599609375,4689.07906039,0.2,-0.020375196321401744,0.9035307765007019,0.010050326399505139,-0.16165906190872192,5570560,10709,520,3390,-25.95083293914795,,
350,829.17,1.154191493988037,0.00025,0.015172877,0.1142333984375,4968.53751658,0.2,-0.020760075096040963,0.863003134727478,0.007563516194932163,-0.16337525844573975,5734400,10715,535,3490,-26.064556884765626,,
360,767.79,1.1651378870010376,0.00025,0.018794242,0.142620849609375,4619.920756629999,0.2,-0.023904307268094272,0.89993816614151,0.021329707000404596,-0.16415680944919586,5898240,10724,549,3590,-26.19665765762329,,
,,1.1714028120040894,0.00025,0.02458347,0.1376953125,,0.2,-0.021872433100361376,0.8648930191993713,0.013098440179601312,-0.1645241230726242,6000000,,,3660,-26.286704540252686,1000.0,6241.084674252197
370,809.01,1.1750335693359375,0.00025,0.016948424,0.123663330078125,4892.75309674,0.2,-0.0224486265971791,0.8712363243103027,0.010487406142055988,-0.167106494307518,6062080,10690,567,3690,-26.33822832107544,,
380,841.27,1.1856229305267334,0.00025,0.018411376,0.141339111328125,5111.63759418,0.2,-0.021959003270603718,0.8905815482139587,0.010825548274442553,-0.16508901119232178,6225920,10698,581,3790,-26.470955657958985,,
390,843.82,1.1975677013397217,0.00025,0.016619842,0.12178955078125,5171.0262761,0.2,-0.021457049733726308,0.9237802028656006,0.012143618008121849,-0.1661410927772522,6389760,10709,596,3890,-26.628167724609376,,
400,839.53,1.210750937461853,0.00025,0.018020585,0.129046630859375,5174.29198384,0.2,-0.02217423520050943,0.8921672105789185,0.0142386419698596,-0.16692966222763062,6553600,10715,611,3990,-26.792853927612306,,
410,782.3,1.222825050354004,0.00025,0.016888838,0.13328857421875,4847.7342708999995,0.2,-0.02129418512340635,0.8865222334861755,0.014523132285103203,-0.16531655192375183,6717440,10722,626,4090,-26.95567560195923,,
420,831.29,1.2343554496765137,0.00025,0.01912386,0.134783935546875,5207.84662258,0.2,-0.022286085761152208,0.8869813680648804,0.014410543069243432,-0.16830140352249146,6881280,10724,641,4190,-27.093983364105224,,
430,794.47,1.2488855123519897,0.00025,0.01810777,0.128326416015625,5001.57576932,0.2,-0.023499471275135873,0.8999946713447571,0.012844056589528918,-0.1727619618177414,7045120,10728,656,4290,-27.289296340942382,,
440,844.11,1.260683298110962,0.00025,0.017700374,0.11751708984375,5319.46534319,0.2,-0.021335271885618567,0.9103016257286072,0.012970531824976206,-0.16935765743255615,7208960,10733,671,4390,-27.44418830871582,,
450,842.31,1.277198314666748,0.00025,0.018063564,0.147210693359375,5336.493155110001,0.2,-0.02125758595066145,0.8808123469352722,0.01286273766309023,-0.16798172891139984,7372800,10733,686,4490,-27.63348503112793,,
460,826.86,1.288133144378662,0.00025,0.017144542,0.129388427734375,5257.65242818,0.2,-0.021499018161557616,0.8939071893692017,0.015190129075199366,-0.17010721564292908,7536640,10731,702,4590,-27.772458267211913,,
470,848.91,1.3028467893600464,0.00025,0.01684739,0.1163330078125,5422.78709069,0.2,-0.020286222593858837,0.8759724497795105,0.016178465262055398,-0.17013372480869293,7700480,10734,717,4690,-27.94312515258789,,
480,834.9,1.3207341432571411,0.00025,0.017047789,0.13245849609375,5374.655014670001,0.2,-0.020659156297915614,0.8574170470237732,0.012305098632350565,-0.17008931934833527,7864320,10740,732,4790,-28.15436201095581,,
,,1.3337122201919556,0.00025,0.016797872,0.129266357421875,,0.2,-0.02224506897618994,0.9303063154220581,0.010108978766947985,-0.17679037153720856,8000000,,,4880,-28.290270137786866,1000.0,6648.142161583901
490,862.21,1.3346835374832153,0.00025,0.018133316,0.134417724609375,5589.121521210001,0.2,-0.021292765240650623,0.8871431946754456,0.016539479792118072,-0.17113475501537323,8028160,10713,749,4890,-28.30019083023071,,
